Hotel_Name,Location,Rate,Governorate
Albatros Palace Sharm - Families and couples only,"Montazah Ras Nasrani, Sharm El Sheikh, 45214, South Sinai Governorate",10,Sharm El Sheikh
Sultan Apartments Hadaba Near Farsha,"Villa 91 C Umm Sid Hadaba, 46119, Sharm El Sheikh, 46119, South Sinai Governorate",10,Sharm El Sheikh
Royal Savoy Sharm El Sheikh,"Soho Square, Sharm El Sheikh, South Sinai Governorate",9.6,Sharm El Sheikh
Rehana Sharm Resort - Aqua Park & Spa - Families & Couples Only,"7th Km North Sharm Airport - Nabq Bay, Sharm El Sheikh, 1111, South Sinai Governorate",9.6,Sharm El Sheikh
"Coral Sea Imperial ""Coral Sea Sensatori""","Ras Nosrany, Sharm El Sheikh, South Sinai Governorate",9.4,Sharm El Sheikh
Four Seasons Resort Sharm EL Sheikh,"1 Four Seasons Blvd, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
Sentido Reef Oasis Senses Resort - All Inclusive,"Marine Sports Club Street, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
Stella Di Mare Beach Hotel & Spa,"Neama Bay, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
"Domina Coral Bay Resort, Diving , Spa & Casino","Marsa El Dekhela, Sharm El Sheikh, 46619, South Sinai Governorate",9.2,Sharm El Sheikh
Rixos Premium Seagate Sharm El Sheikh,"Nabq bay, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
Magic World Sharm - Club by Jaz,"El Salam Road, Nabq Bay, Sharm El Sheikh, South Sinai Governorate",9,Sharm El Sheikh
Jaz Belvedere,"El Montaza, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Reef Oasis Blue Bay Resort,"El Basha Bay, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
SUNRISE Arabian Beach Resort,"Sharks Bay, entrance of Convention Cntr, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Renaissance Sharm El Sheikh Golden View Beach Resort,"Om El Sid Hill, Sharm El Sheikh, 168, South Sinai Governorate",8.8,Sharm El Sheikh
Rixos Sharm El Sheikh - Adults Friendly,"Nabq Bay Sharm El Sheikh South Sinai, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Tropitel Waves Naama Bay,"Halomy Road, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Aqua Blu Resort Sharm El Sheik - Families & Couples Only,"Om El Seid 22, Sharm El Sheikh, 0000, South Sinai Governorate",8.8,Sharm El Sheikh
"Domina Coral Bay Resort, Diving , Spa & Casino","Marsa El Dekhela, Sharm El Sheikh, 46619, South Sinai Governorate",9.2,Sharm El Sheikh
Rixos Premium Seagate Sharm El Sheikh,"Nabq bay, Sharm El Sheikh, South Sinai Governorate",9.2,Sharm El Sheikh
Magic World Sharm - Club by Jaz,"El Salam Road, Nabq Bay, Sharm El Sheikh, South Sinai Governorate",9,Sharm El Sheikh
Jaz Belvedere,"El Montaza, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Reef Oasis Blue Bay Resort,"El Basha Bay, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
SUNRISE Arabian Beach Resort,"Sharks Bay, entrance of Convention Cntr, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Renaissance Sharm El Sheikh Golden View Beach Resort,"Om El Sid Hill, Sharm El Sheikh, 168, South Sinai Governorate",8.8,Sharm El Sheikh
Rixos Sharm El Sheikh - Adults Friendly,"Nabq Bay Sharm El Sheikh South Sinai, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Tropitel Waves Naama Bay,"Halomy Road, Sharm El Sheikh, South Sinai Governorate",8.8,Sharm El Sheikh
Aqua Blu Resort Sharm El Sheik - Families & Couples Only,"Om El Seid 22, Sharm El Sheikh, 0000, South Sinai Governorate",8.8,Sharm El Sheikh
Royal Albatros Moderna - All Inclusive - Families & Couples Only,"Nabq Bay, Sharm El Sheikh, 0000, South Sinai Governorate",8.8,Sharm El Sheikh
Jaz Fanara Resort,"Ras Om El-Seid Cliff, Sharm El Sheikh, South Sinai Governorate",8.6,Sharm El Sheikh
SUNRISE Montemare Resort Grand Select,"El Fanar Street, Sharm El Sheikh, 46619, South Sinai Governorate",8.6,Sharm El Sheikh
Naama Inn,"King Abdullah Street, Naama Bay, Sharm El Sheikh, South Sinai Governorate",8.6,Sharm El Sheikh
SUNRISE Diamond Beach Resort,"Salah Taher St, Om El Sid Hill, Sharm El Sheikh, South Sinai Governorate",8.6,Sharm El Sheikh
Savoy Sharm,"Soho Square, Sharm El Sheikh, South Sinai Governorate",8.6,Sharm El Sheikh
Steigenberger Alcazar,"Nabq Bay, Sharm El Sheikh, South Sinai Governorate",8.6,Sharm El Sheikh
SUNRISE Remal Resort,"El Montaza, Ras Nasrani, Sharm El Sheikh, Sharm El Sheikh, 46628, South Sinai",8.6,Sharm El Sheikh
Cleopatra Luxury Resort Sharm El Sheikh,"Nabq Bay, Sharm El Sheikh, 3150, South Sinai Governorate",8.4,Sharm El Sheikh
Iberotel Palace - Adults Only,"Sharm el Maya Bay, Sharm El Sheikh, South Sinai Governorate",8.4,Sharm El Sheikh
Coral sea Holiday Resort & Aqua park,"El Salam Road, Nabq Bay, Sharm El Sheikh, South Sinai Governorate",8.4,Sharm El Sheikh
Charmillion Sea Life Resort,"2 Nabq Bay, Sharm El Sheikh, 11371, South Sinai Governorate",8.4,Sharm El Sheikh
Charmillion Club Aqua Park,"Nabq Bay, Sharm El Sheikh, 46619, South Sinai Governorate",8.4,Sharm El Sheikh
Concorde El Salam Hotel Sharm El Sheikh,"White Knight Beach, Sharm El Sheikh, South Sinai Governorate",8.4,Sharm El Sheikh
Baron Palms Resort Sharm El Sheikh - Adults Only,"Ras Nasrani, South Sinai, Sharm El Sheikh, South Sinai Governorate",8.4,Sharm El Sheikh
Reef Oasis Beach Resort,"Marine Sports Club Street, Sharm El Sheikh, South Sinai Governorate",8.2,Sharm El Sheikh
Jaz Mirabel Resort,"Nabaq Bay, Sharm El Sheikh, South Sinai Governorate",8.2,Sharm El Sheikh
Oriental Rivoli Hotel & SPA,"Namaa Bay, Sharm El Sheikh, 0375, South Sinai Governorate",8.2,Sharm El Sheikh
Baron Resort Sharm El Sheikh,"Ras Nosrani Bay, Sharm El Sheikh, South Sinai Governorate",8.2,Sharm El Sheikh
Solymar Naama Bay,"Naama Bay, Sharm El Sheikh, South Sinai Governorate",8,Sharm El Sheikh
Jaz Sharks Bay,"2 B Entrance of Sharks Bay, Sharm El Sheikh, 00328, South Sinai Governorate",8,Sharm El Sheikh
Charmillion Gardens Aquapark,"3 Nabq Bay, Sharm El Sheikh, 00000, South Sinai Governorate",8,Sharm El Sheikh
Xperience St. George Homestay,"Um El Seid Hill, Sharm El Sheikh, 260, South Sinai Governorate",8,Sharm El Sheikh
Lido Sharm Hotel Naama Bay,"Naama Bay, Sharm El Sheikh, South Sinai Governorate",7.8,Sharm El Sheikh
Dive Inn Resort,"34, Al Ferouseya, Sharm El Sheikh, 46619, South Sinai Governorate",7.8,Sharm El Sheikh
Dreams Beach Sharm el Sheikh,"33 El Fanar Street, Om El Seid Cliff, Sharm El Sheikh, South Sinai Governorate",7.8,Sharm El Sheikh
Hilton Sharks Bay Resort,"Ras Nusrani Sharks Bay, Sharm El Sheikh, X, South Sinai Governorate",7.8,Sharm El Sheikh
Coral Sea Aqua Club,"Nabq Bay, Sharm El Sheikh",7.8,Sharm El Sheikh
Naama Blue hotel,"King Abdullah Street, Sharm El Sheikh, 11234, South Sinai Governorate",7.6,Sharm El Sheikh
Jaz Fanara Residence - All Inclusive,"Ras Om El-Seid Cliff, Sharm El Sheikh, 00176, South Sinai Governorate",7.6,Sharm El Sheikh
Novotel Sharm El-Sheikh,"Naama Bay, Sharm El Sheikh, 32, South Sinai Governorate",7.6,Sharm El Sheikh
Park Regency Sharm El Sheikh Resort (Formerly Hyatt Regency),"The Gardens Bay, Sharm El Sheikh, South Sinai Governorate",7.6,Sharm El Sheikh
Xperience Golden Sandy Beach,"Dusti Road, Ras Umm Sid, Sharm El Sheikh, 99996, South Sinai Governorate",7.6,Sharm El Sheikh
Movenpick Resort Sharm El Sheik Naama Bay,"Naama Bay Sharm El Sheikh, Sharm El Sheikh, 46619-B106, South Sinai Governorate",7.6,Sharm El Sheikh
Charmillion Club Resort,"Nabq Bay, Sharm El Sheikh, 46619, South Sinai Governorate",7.4,Sharm El Sheikh
Safir Sharm Waterfalls Resort,"Ras Um El Sid Cliff South Sinai, Sharm El Sheikh, South Sinai Governorate",7.4,Sharm El Sheikh
Sea Beach Aqua Park Resort Managed By Blue Resorts,"Sharm El Sheikh - Dahab Rd, Sharm El Sheikh, 46619, South Sinai Governorate",7.4,Sharm El Sheikh
Xperience Sea Breeze Resort,"Sharks Bay Area, Sharm El Sheikh, 4, South Sinai Governorate",7.4,Sharm El Sheikh
Tropitel Naama Bay Hotel,"Naama Bay, Sharm El Sheikh, South Sinai Governorate",7.4,Sharm El Sheikh
Jolie Ville Golf & Resort,"Um Marikha Bay, Sharm El Sheikh, 46619, South Sinai Governorate",7.4,Sharm El Sheikh
Barceló Tiran Sharm,"Nabq Bay, Sharm El Sheikh, 00149, South Sinai Governorate",7.4,Sharm El Sheikh
Sharm Grand Plaza Resort,"Nabq Bay, 8 Km from Sharm Airport, Sharm El Sheikh, South Sinai Governorate",7.2,Sharm El Sheikh
Maritim Jolie Ville Resort & Casino Sharm El Sheikh,"El Salam road Namaa Bay, Sharm El Sheikh, South Sinai Governorate",7.2,Sharm El Sheikh
Xperience Kiroseiz Premier,"Salam Road, Peace Road, Naama Bay, Sharm El Sheikh, 11221, South Sinai Governorate",7,Sharm El Sheikh
Naama Bay Promenade Beach Resort,"El Salam Road, Naama Bay, Sharm El Sheikh, 46691, South Sinai Governorate",7,Sharm El Sheikh
Amphoras Beach,"Om El Seid Cliff, Sharm El Sheikh, 46619, South Sinai Governorate",7,Sharm El Sheikh
Fayrouz Resort,"Peace Road, Sharm El Sheikh, South Sinai Governorate",7,Sharm El Sheikh
Marina Sharm Hotel,"Naama Bay, Sharm El Sheikh, South Sinai Governorate",6.8,Sharm El Sheikh
"Sheraton Sharm Hotel, Resort, Villas & Spa","Al Pasha Coast, Sharm El Sheikh, South Sinai Governorate",6.8,Sharm El Sheikh
Rehana Royal Beach Resort - Aquapark & Spa - Families & Couples Only,"7th Km North Sharm Airport - Nabq Bay, Sharm El Sheikh, 46619, South Sinai Governorate",6.8,Sharm El Sheikh
Amphoras Aqua,"Um El Sied Cliff, Sharm El Sheikh, 46619, South Sinai Governorate",6.8,Sharm El Sheikh
Albatros Aqua Park Sharm El Shiekh - Families & Couples Only,"Hadaba Umm El Sid Cliff, Sharm El Sheikh, 46628, South Sinai Governorate",6.8,Sharm El Sheikh
"DELTA RENT , Sharm El Sheikh, South Sinai, Egypt","Intersection Of El Tower Rd, Sharm El Sheikh, 44146, South Sinai Governorate",6.6,Sharm El Sheikh
Tivoli Hotel Aqua Park,"Ras Om El Sid, City Council St., Sharm El Sheikh, 5331, South Sinai Governorate",6.6,Sharm El Sheikh
Sharm Dreams Resort,"210 Naama Bay, Sharm El Sheikh, South Sinai Governorate",6.4,Sharm El Sheikh
Pyramisa Sharm El Sheikh Resort,"Sharks Bay Cliff South Sinai, Sharm El Sheikh, South Sinai Governorate",6.2,Sharm El Sheikh
Royal Monte Carlo Sharm El Sheikh - Adults only,"Om El Seed Peninsula, Sharm El Sheikh, South Sinai Governorate",6,Sharm El Sheikh
Monte Carlo Sharm Resort & Spa,"Om El Seed, Sharm El Sheikh, South Sinai Governorate",6,Sharm El Sheikh
Sharming Inn Hotel,"Hadabet Om El Seed, Sharm El Sheikh, South Sinai Governorate",5.8,Sharm El Sheikh
Coral Beach Resort Tiran,"Shark's Bay, Sharm El Sheikh, South Sinai Governorate",5.8,Sharm El Sheikh
Il mercato hotel sharm & Spa,"Hadabet Om El Seed, Sharm El Sheikh, South Sinai Governorate",5.6,Sharm El Sheikh
Desert View Sharm Hotel,"El Motelat Street, Sharm El Sheikh, South Sinai Governorate",5.4,Sharm El Sheikh
Amar Sina Egyptian Village,"Al Monelat St., Sharm El Sheikh, 46619, South Sinai Governorate",5.4,Sharm El Sheikh
Logaina Sharm Resort,"Sharks Bay, Sharm El Sheikh, 0000, South Sinai Governorate",5,Sharm El Sheikh
Sharm Bride Resort Aqua & SPA,"Peace Road - Nabq Bay, Sharm El Sheikh, 46619, South Sinai",4.6,Sharm El Sheikh
Nubian Village,"Dahab Rd, Sharm El Sheikh, South Sinai Governorate",4,Sharm El Sheikh
Savana Club Resort & Aqua Park,"Sharks Bay, Airport Road Savanna Club, Sharm El Sheikh, South Sinai Governorate",,Sharm El Sheikh
Viking Resort,"Naama Bay, Criss Village, Sharm El Sheikh, 46628, South Sinai Governorate",,Sharm El Sheikh
SUNRISE Remal Beach Resort,"El Montaza, Ras Nasrani, Sharm El Sheikh, Sharm El Sheikh, 46628, South Sinai",,Sharm El Sheikh
Amazing 4 Bedroom Villa,"Sharm El Sheikh, South Sinai Governorate",,Sharm El Sheikh
Nubian Island,"Dahab Rd, Sharm El Sheikh, South Sinai Governorate",,Sharm El Sheikh
Sultan Gardens Resort,"Shark's Bay, Sharm El Sheikh, 46199, South Sinai Governorate",9,Sharm El Sheikh
Sierra Sharm El Sheikh - All-inclusive,"White Knight Beach, Sharm El Sheikh, 00000, South Sinai Governorate",9,Sharm El Sheikh
TUI Magic Life Sharm El Sheikh,"Nabque Bay, Qesm at Tour, Sharm El Sheikh, 70770, South Sinai Governorate",9.2,Sharm El Sheikh
Coral Sea Water World Resort - All inclusive,"Qesm Sharm Ash Sheikh, Sharm El Sheikh, 99999, South Sinai Governorate",8.2,Sharm El Sheikh
Xperience Kiroseiz Parkland Resort,"Peace Road, Naama Bay, Sharm El Sheikh, 99996, South Sinai Governorate",8.2,Sharm El Sheikh
Club Reef Resort,"Tower Bay, Sharm El Sheikh, South Sinai Governorate",8.6,Sharm El Sheikh
Dreams Vacation Sharm El Sheikh,"23 Om El Seid Cliff, Sharm El Sheikh, 00000, South Sinai Governorate",9.4,Sharm El Sheikh
Jolie Ville Royal Peninsula Hotel & Resort Sharm El Sheikh,"Peace Road at Um Marikha Bay, Sharm El Sheikh, South Sinai Governorate",8.6,Sharm El Sheikh
Nice Apartment in Sharm,"Delta Sharm Resort, Sharm El Sheikh, South Sinai Governorate",8,Sharm El Sheikh
Ocean Club Sharm El Sheikh,"Sharm El Sheikh El Hadaba City Council, Sharm El Sheikh",10,Sharm El Sheikh
Royal Paradise Beach Resort,"Al fanar Street, Om el Sid Hill, Sharm El Sheikh, South Sinai Governorate",10,Sharm El Sheikh
Nabq Camp,"Peace Road, Nabq Bay, Sharm El Sheikh, 46628, South Sinai Governorate",10,Sharm El Sheikh
One Bedroom Apart Deep Purple by Pool,"Delta Sharm, building 47 flat 106, Sharm El Sheikh",8,Sharm El Sheikh
Old Vic Sharm Resort,"Plateau Umm Sid, Motalat Street, Sharm El Sheikh, 46628, South Sinai Governorate",8,Sharm El Sheikh
Sharks Bay Umbi Diving Village,"Sharks Bay, Sharm El Sheikh, South Sinai Governorate",8,Sharm El Sheikh
Sultan Gardens Resort,"Shark's Bay, Sharm El Sheikh, 46199, South Sinai Governorate",9,Sharm El Sheikh
