,Hotel_Name,Location,Rate,Governorate
257,New Cairo Heart Hotel,"17 Bustan Street, Cairo, 55101",8.0,Cairo
258,Pyramids Height Inn,"EMRO Al Kais, Giza, Giza Governorate",8.0,Cairo
259,Adonis Nile Cruise,"Maadi Corniche, Next to Al Shorouk Club, Turah, 11513, Cairo Governorate",8.0,Cairo
260,Hor Moheb Hotel,"429 Pyramids Road, Giza, 99999, Giza Governorate",10.0,Cairo
261,Great View Apartment,"60 Gamal Abd El-Nasir, Giza, 12557, Giza Governorate",10.0,Cairo
262,Cozy Studios Pyramids View,"20 Abou Al Hool Al Seiahi, Giza, 12557, Giza Governorate",8.0,Cairo
263,Happy City Hotel,"92 C Mohamed Farid St, Abdin, Cairo, 11121",8.0,Cairo
264,Pyramids Empire Inn,"Zawya Abou Muslim, Mansuriya Road, Giza, 12841, Giza Governorate",9.0,Cairo
265,Vibes Hostel & SPA,"Noaman Gomaa, Obour City, 11828, Qalyubia Governorate",10.0,Cairo
266,Tropitel Dahab Oasis Resort,"Blue Hole Road Dolphin Bay 0 3, Dahab, 0, South Sinai Governorate",8.0,Dahab
267,Daniela Village Dahab,"43 Blue Hole Road, Dahab, South Sinai Governorate",8.2,Dahab
268,Swiss Inn Resort Dahab,"Dahab, St. Catherine, 46111, South Sinai Governorate",8.8,Dahab
269,Jaz Dahabeya,"Lagoon Area, St. Catherine, South Sinai Governorate",9.0,Dahab
270,Bedouin Moon Hotel,"Blue Hole Road, St. Catherine, South Sinai Governorate",8.2,Dahab
271,Golden Star Camb,"Al Masbet 4, Dahab, St. Catherine, 46617, South Sinai Governorate",,Dahab
272,Sheikh Ali Dahab Resort,"New Mashraba Street, St. Catherine, South Sinai Governorate",10.0,Dahab
273,Le Meridien Dahab Resort,"South Sinai, St. Catherine, South Sinai Governorate",7.4,Dahab
274,Golden Europe Hotel,"1 Lighthouse Road, Dahab, St. Catherine, 46617, South Sinai Governorate",8.0,Dahab
275,Family Dahab House,"St. Catherine, South Sinai Governorate",,Dahab
276,El Primo Dahab Hotel,"El Melik Street, St. Catherine, South Sinai Governorate",8.0,Dahab
277,Sarah Village Dahab,"Lagoona area, Dahab, St. Catherine, South Sinai Governorate",,Dahab
278,Banana Beach Camp,"Nuweiba, Nuweiba, 11114, South Sinai Governorate",,Dahab
279,Sababa hotel Dahab,"Dahab Main Promenade, St. Catherine, 46617",6.0,Dahab
280,Ecotel Dahab Bay View Resort,"Dehab-Sharm El Sheikh, St. Catherine, 45214, South Sinai Governorate",9.4,Dahab
281,Coral Resort Nuweiba,"Newabaa Street, Nuweiba, South Sinai Governorate",8.2,Dahab
282,Shams Hotel & Dive Centre,"Mashraba St, St. Catherine, 46617, South Sinai Governorate",8.0,Dahab
283,Skyrock,"St. Catherine, South Sinai Governorate",8.4,Dahab
284,Jimmy Hotel Dahab,"Dahab Mashraba st. DOWN TOWN, St. Catherine, South Sinai Governorate",9.6,Dahab
285,Star Of Dahab,"Mashraba St, St. Catherine, 46617, South Sinai Governorate",8.0,Dahab
286,Sayadeen Village,"Sayadeen Village Road, Nuweiba, Nuweiba, South Sinai Governorate",10.0,Dahab
287,Neptune Hotel,"Al Masbat, Next To The Bridge, St. Catherine, South Sinai Governorate",10.0,Dahab
288,Dahab Divers,"El Fanar Street, St. Catherine, 46617, South Sinai Governorate",8.0,Dahab
289,Four Seasons Hotel Cairo at First Residence,"35 Giza Street, Giza, 12311",9.2,Giza
290,Great Pyramid Inn,"14 Abou Al Hool Al Seiahi, Giza, 12561",9.2,Giza
291,Pyramids Empire Inn,"Zawya Abou Muslim, Mansuriya Road, Giza, 12841, Giza Governorate",9.0,Giza
292,Giza Pyramids View Inn,"6 sphinx St,pyramids,Giza,Cairo,Egypt, Giza, 12557, giza",9.0,Giza
293,Pyramids Top Inn,"Abu Elhol Street Pyramids Area No:15, Giza, 11112, Egypt",9.0,Giza
294,Marriott Mena House Cairo,"6 Pyramids Road, Giza, 12556",8.8,Giza
295,Safir Hotel Cairo,"Orman, El Missaha Square, Giza, 12611",8.8,Giza
296,Desert Moon,"Hadayek Al Ahram 201W, Giza, 12611, Giza Governatore",8.8,Giza
297,Havana Hotel Cairo,"26 syria street El mohandssen area, Giza, 12411, giza",8.6,Giza
298,Zayed Hotel,"42 Abu El Mahasn El Shazly Square, Giza, 12411",8.6,Giza
299,Pyramids Valley,"25 Abo Alhool Street, Giza, 12557, Giza",8.4,Giza
300,Pyramid edge,"Nazlet Al Seman Al Kebli, Giza, Giza Governorate",8.4,Giza
301,Regency Pyramids,"Al Shams, Giza, Giza Governorate",8.4,Giza
302,Best View Pyramids Hotel,"13 Gamal Abd Nasser Street, Giza, 12557",8.4,Giza
303,Nine Pyramids View Hotel,"2st, Mohamed Hassab Salam, Mansoria, Giza, 12557, Giza Governorate",8.4,Giza
304,Golden Pyramids Inn,"Nazlet Al Seman, Giza, 12557, Giza Governorate",8.4,Giza
305,Swiss Inn Nile Hotel,"110, El Bahr El Aazem Street, Giza, 12211",8.2,Giza
306,Sahara Pyramids Inn,"14 Sphinx Street, Giza, 12561, Giza Governorate",8.2,Giza
307,Sheraton Cairo Hotel & Casino,"Galaa Square, Giza, 11511",8.2,Giza
308,Steigenberger Pyramids Cairo,"Alexandria Road, Pyramids, Giza",8.2,Giza
309,Panorama Pyramids Inn,"14 Abu el Houl Street, Giza, 12557, Giza Governorate",8.0,Giza
310,Mena Inn Pyramids,"Abou Al Hool Al Seiahi, Pyramids, Giza, 12557",7.8,Giza
311,St. George Hotel Cairo,"7 Radwan Ebn El-tabib, Giza, 12511, Giza Governorate",7.8,Giza
312,Pharaohs Hotel,"12 Lotfi Hassouna Street, Giza, 12611, Giza Governorate",7.8,Giza
313,Pyramids Eyes Hotel,"Kafr Nassar Next to Kia Motors, Giza, Giza Governerate",7.6,Giza
314,Barceló Cairo Pyramid,"229 Al Haram Road, Giza, 12111",7.6,Giza
315,Salma Hotel,"12 Moh. Kamel Morsi St., Giza, Giza Governorate",7.6,Giza
316,Pyramids Sun Capital,"9 Abou Al Hool Al Seiahi, Giza, Giza Governorate",7.6,Giza
317,Gawharet Al Ahram Hotel,"103, Al Ahram St, Giza, 00202",7.6,Giza
318,Marvel Stone Hotel,"6 Gerier street, nazlet el semman, Giza, Giza, 12511",7.6,Giza
319,Cairo Pyramids Hotel,"Alexandria Road, Giza",7.2,Giza
320,Tut Pyramids View Hotel,"Gamal Abd El-nasir St., Giza, 12557",7.0,Giza
321,Swiss Inn Hotel Cairo,"7 El Hegaz St. From Gamet El Dewal St., Giza, 12411",6.8,Giza
322,The Oasis Hotel Pyramids,"Cairo-Alexandria Desert Road, Giza",6.6,Giza
323,Sphinx Golden Gate Inn,"Building No 9 Sphinx Street, Giza, 12557, Giza Governorate",6.6,Giza
324,Hotel Amarante Pyramids,"29 Abou Hazem Street, Giza, 112211",6.2,Giza
325,Holidays Express Hotel,"2 Gamaat El Dowal El Arabia Street, Giza, 11511",6.0,Giza
326,Pyramids Park Resort Cairo,"Alexandria Desert Road-km 2.5, Giza, 12411",5.8,Giza
327,Pyramisa Suites Hotel Cairo,"60 Giza Street, Giza, 12311",5.6,Giza
328,Aracan Pyramids Hotel,"198 El-Haram Street, Cairo, Giza, 12111",5.2,Giza
329,Magic Golden Pyramids Inn,"El-Salam Street, Nazlet El-Saman, Giza, 12561, Giza Governorate",4.0,Giza
330,Jewel Dokki Hotel,"11 El-Batal Ahmed Abd El-Aziz, Giza, Giza Governorate",2.0,Giza
331,Pyramids View Apartments & Rooftop,"69 H Pyramids Gardens, Giza, 12345, Giza Governorate",,Giza
332,Abou 3Pyramids Plaza Hotel,"Al mansouria, Giza, 12511, Giza Governorate",,Giza
333,Pyramid stars inn,"21 Elfareda Queen Street, Giza, Giza Governorate",,Giza
334,Pyramids Gardens Hotel,"Street 9, Giza, Giza Governorate",,Giza
335,Kanzy Hotel,"9 Abou Bakr El Seddik St., Giza, 12611",,Giza
336,Pyramids Tower,"21 Zagluol, Giza, 12512, Giza Governorate",,Giza
337,Nile Island View hotel,Private host,,Giza
338,the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Giza
339,Nile Island View hotel,Private host,,Giza
340,the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Giza
341,Indiana Hotel Cairo,"Adel Hussein Rostom, Ad Doqi A, Ad, Giza, 12611, Giza Governorate",5.6,Giza
342,Jaz Makadi Gardens,"Madinat Makadi, Safaga Road KM 32, Makadi Bay, Red Sea Governorate",10.0,Hurghada
343,Aldau Heights apartments,"Hurghada, Hurghada, Red Sea Governorate",10.0,Hurghada
344,Sherry Hotel Hurghada,"Sherry.St, Hurghada, Red Sea Governorate",10.0,Hurghada
345,Aqua Blu Resort - Families & Couples Only,"Hurghada - Safaga Road, Hurghada, Red Sea Governorate",10.0,Hurghada
346,Turtle's Inn,"Abu El Tig Marina, El Gouna, Red Sea",10.0,Hurghada
347,Serenity home hurghada,"Villa No. 213, Mubarak 6, Hurghada, 84517, Red Sea Governorate",10.0,Hurghada
348,Lilly Rooms and Studios,"Old Sheraton Road, Hurghada, 12345",10.0,Hurghada
349,Rixos Premium Magawish Suites and Villas,"Qesm Hurghada, Hurghada, 84517, Red Sea Governorate",10.0,Hurghada
350,Hurghada Comfort Apartments,"EL Hadaba,Near German Consulate, Hurghada, 84511, read sea",10.0,Hurghada
351,SeaView Turtles,"Turtles Beach Resort, Ras Gharib Road, Hurghada, 84511, Red Sea Governorate",10.0,Hurghada
352,Serenity Makadi Beach,"36 Km Makadi Bay, Makadi Bay, Red Sea",9.4,Hurghada
353,Jaz Makadi Oasis Club,"Madinat Makadi, Makadi Bay, 00178",9.4,Hurghada
354,Cleopatra Luxury Beach Resort Makadi Bay - Adults Only,"Safaga Road, Makadi Bay, 84515",9.4,Hurghada
355,Stella Di Mare Beach Resort & Spa - Makadi Bay,"Km 32, Hurghada Safaga Rd, Makadi Bay, 32821",9.4,Hurghada
356,Jaz Makadina,"Safaga Road, Makadi Resort, Makadi Bay, Red Sea Governorate",9.4,Hurghada
357,Jaz Makadi Oasis Resort,"Hurghada Safaga Rd, Makadi Bay",9.4,Hurghada
358,Sky View Suites Hotel,"Hurghada, Red Sea Governorate",9.2,Hurghada
359,Serenity Fun City,"36 KM, Hurghada Safaga road, Makadi Bay",9.2,Hurghada
360,Jaz Aquamarine Resort - All Inclusive,"South Sahl Hashish Road, Hurghada, Red Sea Governorate",9.2,Hurghada
361,"Fort Arabesque Resort, Spa & Villas","32 K Hurghada Safaga Road, Makadi Bay, 155",9.2,Hurghada
362,Steigenberger Makadi (Adults Only),"Safaga Road, 32 km, Makadi Bay, 178, Red Sea Governorate",9.2,Hurghada
363,Iberotel Makadi Beach,"Madinat Makadi, Safaga Road, Makadi Bay",9.2,Hurghada
364,SUNRISE Crystal Bay Resort - Grand Select,"KM 19 Hurghada-Safaga Road, Hurghada, Red Sea Governorate",9.0,Hurghada
365,Golden Beach Resort,"Km 12, Ahia Road, Hurghada, 84511, Red Sea Governorate",9.0,Hurghada
366,SUNRISE Royal Makadi Resort,"Makadi Bay, Makadi Bay",9.0,Hurghada
367,Sharm El Naga Resort and Diving Center,"Soma Bay, Soma Bay, 84511, Red Sea Governorate",9.0,Hurghada
368,Cook's Club El Gouna - Adults Only,"Downtown, El Gouna, Red Sea",9.0,Hurghada
369,Sentido Mamlouk Palace Resort,"20 Km Safaga Road, Hurghada",9.0,Hurghada
370,SUNRISE Garden Beach Resort,"20 Km Safaga Road, Hurghada, Red Sea, Hurghada",9.0,Hurghada
371,Ali Pasha Hotel El Gouna,"Abu Tig Marina, El Gouna, 84513, Red Sea Governorate",9.0,Hurghada
372,Beach Albatros Resort - All Inclusive - Families & Couples Only,"Safaga Road, Hurghada, Red Sea",9.0,Hurghada
373,Jaz Makadi Saraya Palms - All Inclusive,"Madinat Makadi, Safaga Road, Makadi Bay",9.0,Hurghada
374,Hurghada Marriott Beach Resort,"El Corniche Road, Hurghada, Red Sea Governorate",9.0,Hurghada
375,Jaz Makadi Star & Spa,"Madinat Makadi, Makadi Bay",9.0,Hurghada
376,SUNRISE Romance Resort - Adults Only,"The Corniche, Sahl Hasheeh, 84511, Red Sea Governorate",9.0,Hurghada
377,Jaz Casa Del Mar Beach,"Touristic Promenade, Hurghada, Red Sea Governorate",9.0,Hurghada
378,Cleopatra Luxury Resort Makadi Bay,"Safaga Road, Makadi Bay, 84515",8.8,Hurghada
379,Meraki Resort (Adults Only),"El Dahar - El Kornesh Road, Downtown, Hurghada, Red Sea Governorate",8.8,Hurghada
380,Movenpick Resort Soma Bay,"Km 49 Hurghada-Safaga Road, Soma Bay, 847115",8.8,Hurghada
381,Prima Life Makadi Hotel,"Makadi Bay, Makadi Bay",8.8,Hurghada
382,SUNRISE Holidays Resort - Adults Only,"Corniche Road - Touristic Center, Hurghada, Red Sea Governorate",8.8,Hurghada
383,Dawar El Omda Hotel - Adult Only,"El Kafr, El Gouna, 84513, Red Sea Governorate",8.8,Hurghada
384,Captain's Inn,"Abu Tig Marina, El Gouna",8.8,Hurghada
385,Lilly apartments,"El Hadaba El Shamalya, Hurghada, Red Sea",8.8,Hurghada
386,Solymar Ivory Suites,"El Kawsar District, Hurghada, Red Sea Governorate",8.6,Hurghada
387,Dana Beach Resort - Families & Couples Only,"Sahl Hashish Road, Hurghada, 84511",8.6,Hurghada
388,Aqua Vista Resort - Families & Couples Only,"Safaga Road Red Sea, Hurghada, 00000, Red Sea",8.6,Hurghada
389,Albatros Aqua Park Resort - All Inclusive - Families & Couples Only,"Hurghada -Safaga Road, Hurghada, Red Sea",8.6,Hurghada
390,Desert Rose Resort,"Safaga Road, Hurghada",8.6,Hurghada
391,Steigenberger Resort Ras Soma,"KM 55 Hurghada Safaga Road, Soma Bay, 84911, Red Sea Governorate",8.6,Hurghada
392,Baron Palace Sahl Hasheesh,"Red Sea, Sahl Hasheeh",8.6,Hurghada
393,The Cascades Golf Resort Spa and Thalasso,"Soma Bay, Soma Bay, 11672, Red Sea",8.6,Hurghada
394,Bel Air Azur Resort - Adults Only,"El Corniche Road, Hurghada, 111, Red Sea Governorate",8.6,Hurghada
395,Sheraton Soma Bay Resort,"Soma Bay, Soma Bay",8.6,Hurghada
396,Jaz Casa Del Mar Resort,"Touristic Promenade, Hurghada, Red Sea Governorate",8.6,Hurghada
397,Sheraton Miramar Resort El Gouna,"Red Sea, El Gouna",8.6,Hurghada
398,Movenpick Resort & Spa El Gouna,"El Gouna, El Gouna",8.6,Hurghada
399,Cordoba Suits,"Bowling Street 271, kawthar district., Hurghada, 84511, Red Sea",8.4,Hurghada
400,Hilton Hurghada Plaza,"Gabal El Hareem Main Street, Hurghada, Red Sea Governorate",8.4,Hurghada
401,Jaz Aquaviva - All Inclusive,"Hurghada, Makadi Bay",8.4,Hurghada
402,SENTIDO Palm Royale,"Safaga Hurghada Highway, Soma Bay",8.4,Hurghada
403,Continental Hotel Hurghada,"El Fareek Youssef Affifi Street, Hurghada, 84511",8.4,Hurghada
404,Sultan Bey Hotel,"Kafr el Gouna, El Gouna, 84513, Red Sea Governorate",8.4,Hurghada
405,Labranda Royal Makadi,"34 KM Hurghada Safaga Road, Makadi Bay, 111",8.2,Hurghada
406,Jaz Makadi Saraya Resort,"Safaga Road, Makadi Bay",8.2,Hurghada
407,Caribbean World Resort - All-Inclusive,"Soma Bay Resorts Road, Soma Bay, 1111",8.2,Hurghada
408,Tropitel Sahl Hasheesh Resort,"Sahl Hasheesh, Hurghada, Sahl Hasheeh",8.2,Hurghada
409,Premier Le Reve Hotel & Spa Sahl Hashesh -Adults Only,"Piece 33, Sahl Hasheeh, 84521, Red Sea Governorate",8.2,Hurghada
410,Alf Leila Wa Leila - Families & Couples Only,"Safaga Road, Hurghada, Red Sea Governorate",8.0,Hurghada
411,Albatros Palace Resort Hurghada - All Inclusive - Families & Couples Only,"Sahl Hashish Road, Hurghada, 00000, Red Sea",8.0,Hurghada
412,Pool View Apart At British Resort 1532,Hurghada,8.0,Hurghada
413,VESTA - Azzurra Sahl Hasheesh,"Lot 26, Sahl Hasheeh",8.0,Hurghada
414,Amarina Abu Soma Resort & Aquapark,"Km. 8 Safaga tourist center, Abu Soma., Safaga, Red Sea",8.0,Hurghada
415,Steigenberger Golf Resort El Gouna,"El Gouna, Hurghada, El Gouna, 84513, Red Sea Governorate",8.0,Hurghada
416,Sea Garden Hotel,"Sakala, Opposite to Hurghada Marina, Hurghada, Red Sea Governorate",8.0,Hurghada
417,Three Corners Sunny Beach Resort,"Hurghada, Hurghada, Red Sea Governorate",8.0,Hurghada
418,Arabella Azur Resort - All Inclusive,"Arabia Road, Hurghada, Red Sea Governorate",8.0,Hurghada
419,Masaya Hurghada,"Talateen Street, Hurghada, 84517, Red Sea Governorate",8.0,Hurghada
420,Labranda Club Makadi,"34 KM, Hurghada Safaga Road, Makadi Bay, 111, Hurghada",7.8,Hurghada
421,Hurghada Long Beach Resort,"Sahl Hashish Rd 68, Hurghada, 84511, Red Sea Governorate",7.8,Hurghada
422,Arabia Azur Resort - All Inclusive,"El Corniche Road PO 84511-Post Box 5, Hurghada, Red Sea Governorate",7.8,Hurghada
423,Lotus Bay Resort,"K8 Hurghada Safaga Road, Safaga",7.8,Hurghada
424,"Minamark Resort & Spa, for families & couples only","Sheraton Road, Sakkala Area, Hurghada, 84511",7.6,Hurghada
425,SUNRISE Aqua Joy Resort,"Elmamsha, Hurghada, Hurghada",7.6,Hurghada
426,Jungle Aqua Park - All Inclusive - Families & Couples Only,"Safaga Road, Hurghada, Red Sea",7.6,Hurghada
427,Albatros White Beach - Families and couples only,"El Corniche St, Villages Road, Hurghada, 84511, Red Sea Governorate",7.6,Hurghada
428,Zak Inn,"Sheraton Road, beside CIB Bank, Hurghada, 84511, Red Sea Governorate",7.6,Hurghada
429,Mercure Hurghada Hotel,"Safaga Road Km 12, Hurghada, Red Sea Governorate",7.4,Hurghada
430,Sindbad Club,"Village Road, Hurghada, Red Sea Governorate",7.4,Hurghada
431,Stella Di Mare Gardens Resort & Spa - Makadi Bay,"Km 32, Hurghada Safaga Rd, Makadi Bay",7.4,Hurghada
432,Hotel Panorama Bungalow Resort El Gouna,"El Gouna Red Sea, El Gouna",7.4,Hurghada
433,A1 Tiba Rose,"Al-Qiyadat Street, an Arab road, Hurghada, 84722",7.2,Hurghada
434,Albatros Beach Club - Families & Couples Only,"km 50 Safaga Road, Safaga",7.2,Hurghada
435,Marlin Inn Azur Resort,"Touristic Road, Hurghada, 11241, Red Sea Governorate",7.2,Hurghada
436,Sunny Days Palma De Mirette Resort & Spa-Families & Couples only,"El Courniche St, Hurghada, Red Sea Governorate",7.2,Hurghada
437,Imperial Shams Abu Soma,"Hurghada-Safaga Road 8Km, Safaga",7.2,Hurghada
438,Elaria,"Old Sheraton Road, Hurghada, 84511, Red Sea",7.0,Hurghada
439,Royal Beach Serviced Apartments,"El Gouna-Cairo Rd, North El Ahyaa Dist., Hurghada, 84511",7.0,Hurghada
440,Shams Safaga Resort,"Safaga Road 8Km, Safaga",7.0,Hurghada
441,Pharaoh Azur Resort,"South Sahl Hashish road-Hurghada red sea, Hurghada",7.0,Hurghada
442,Sunny Days Mirette Family Resort - Families and couples only,"El Corniche St, Hurghada, Red Sea Governorate",6.8,Hurghada
443,Pyramisa Sunset Pearl Apartments,"Sahl Hashish Rd, Qesm Hurghada, Sahl Hasheeh, Red Sea Governorate",6.6,Hurghada
444,King Tut Aqua Park Beach Resort,"Al Wafaa District, Hurghada, Red Sea Governorate",6.4,Hurghada
445,Labranda Club Paradisio El Gouna,"El Gouna Golf, El Gouna, 84513",6.4,Hurghada
446,Sphinx Aqua Park Beach Resort - All Inclusive,"Arabia Road, El Wafaa District, Hurghada, Red Sea Governorate",6.2,Hurghada
447,Grand Blue St Marea Hotel & Aqua Park,"Yussif Afifi Road,, Hurghada, Red Sea Governorate",6.0,Hurghada
448,ZYA Regina Resort and Aqua Park,"139 Sheraton Rd, Hurghada, Red Sea Governorate",6.0,Hurghada
449,The Boutique Hotel Hurghada Marina,"Hurghada New Marina, Hurghada, 84517, Red Sea Governorate",6.0,Hurghada
450,"Pyramisa Beach Resort, Hurghada - Sahl Hasheesh","Sahl Hasheesh Bay, Sahl Hasheeh",6.0,Hurghada
451,Sand Beach Resort,"Corniche Street, Hurghada",5.8,Hurghada
452,Mirage Bay Resort & Aqua Park Lilly Land,"Km. 17 Hurghada – Safaga Road, Hurghada, 84511, Red Sea",4.8,Hurghada
453,Chalets in Cecelia Resort,"84511, Hurghada, Red Sea Governorate",4.0,Hurghada
454,Bella Rose Nefertiti,"Ahia Road, Hurghada, 84515, Red Sea Governorate",3.4,Hurghada
455,Cecelia Beach Hotel,"Hurghada - Safaga Road, Hurghada, 84511, Red Sea Governorate",2.0,Hurghada
456,Nubia Aqua Beach Resort,"North Elahyaa, Hurghada, 84511, Red Sea Governorate",2.0,Hurghada
457,View Aqua Apartments & suites,"Sahl Hasheesh Road, 307, Hurghada, 84511, Red Sea Governorate",,Hurghada
458,Cecilia Hurghada,"red sea road behind Senzo Mall, Hurghada, Hurghada, Red Sea",,Hurghada
459,Outstanding Sea View-Azzurra Apartments,Private host,,Hurghada
460,Zahabia Resort & Hotel,"Cornish Road, Hurghada, Red Sea Governorate",,Hurghada
461,Queen Hostel,"Al Dahar Area, Hurghada, Red Sea",,Hurghada
462,Jaz Makadi Blue,"Madinat Makadi, Safaga Road KM 32, Makadi Bay, Red Sea Governorate",,Hurghada
463,Seasons Hotel,"General Hospital Street, Hurghada, 84517, Red Sea Governorate",,Hurghada
464,Hurgada Mirage Beach Chalet & Aqua Park,"17 Hurghada – Safaga Road, Hurghada, 84511, Red Sea Governorate",,Hurghada
465,Luxor Hotel Hurghada,"El Dahar, General Hospital St., Hurghada, 84511, Red Sea",,Hurghada
466,Sea Side Three Bedroom Apartment,"Hurghada, Red Sea Governorate",,Hurghada
467,AquaView apartment Resort and Aqua Park,"Hurghada, Red Sea Governorate",,Hurghada
468,Elite Suites Hurghada,"Intercontinental District, Hurghada, 84512, Red Sea Governorate",,Hurghada
469,Apartment At Nubia Aqua Beach Resort,"Hurghada, Red Sea Governorate",,Hurghada
470,La Rosa Waves Beach - Couple & Families Only,"Sheraton Road, 84517, Hurghada, Red Sea Governorate",,Hurghada
471,Shams Prestige Abu Soma Resort,"Hurghada - Safaga Road 9km, Abu Soma, Safaga",,Hurghada
472,Spacious Hill Villa Near Beach for Rent in El Gouna Egypt,"El Gouna, Red Sea Governorate",,Hurghada
473,Pool View Apart At British Resort 1334,"Hurghada, Red Sea Governorate",,Hurghada
474,Swiss Inn Resort Hurghada,"Hurghada Bay - Safaga Road, Hurghada, Red Sea Governorate",7.4,Hurghada
475,Nubia Aqua Beach Resort,"Kilo 13 El Gouna Road-Hurghada;, Hurghada, 1112, Red Sea Governorate",6.0,Hurghada
476,Tia Heights Makadi Bay Resort,"South Hurghada- Safaga Road- Red Sea, Makadi Bay, Red Sea Governorate",6.0,Hurghada
477,Cook's Club El Gouna,"El Gouna; Red Sea, El Gouna, Red Sea Governorate",,Hurghada
478,Swiss Inn Resort Hurghada,"Hurghada Bay - Safaga Road, Hurghada, Red Sea Governorate",7.4,Hurghada
479,Nubia Aqua Beach Resort,"Kilo 13 El Gouna Road-Hurghada;, Hurghada, 1112, Red Sea Governorate",6.0,Hurghada
480,Tia Heights Makadi Bay Resort,"South Hurghada- Safaga Road- Red Sea, Makadi Bay, Red Sea Governorate",6.0,Hurghada
481,Cook's Club El Gouna,"El Gouna; Red Sea, El Gouna, Red Sea Governorate",,Hurghada
482,Nile View Hotel,"West Bank, Al Jarf, Luxor, 85111",10.0,Luxor
483,Amenophis Hotel,"West Bank, Luxor, Egypt",10.0,Luxor
484,Djorff Palace,"Next to Banana Island, Luxor",10.0,Luxor
485,Senmut Luxory Apartments,"Ramla Street - West Bank, Luxor, Egypt",10.0,Luxor
486,El Nakhil Hotel,"Gezira El Bairat, Luxor",10.0,Luxor
487,El Phardous Hotel,"Naga Al Qarna,El Raogah area,West Bank, Luxor, 99999, Luxor Governorate",10.0,Luxor
488,Embrace Hotel,"West Bank, Luxor",9.4,Luxor
489,Sofitel Winter Palace Luxor,"Cornish El Nile St, Luxor, 85951",9.4,Luxor
490,Hilton Luxor Resort & Spa,"New Karnak, Luxor",9.4,Luxor
491,Cleopatra Hotel Luxor,"El Gezara West Bank, Luxor, 018018",9.4,Luxor
492,Amon Hotel,"Gezira El Bairat, Luxor, 12345",9.2,Luxor
493,Steigenberger Resort Achti Luxor,"Khaled Ben Walid St, East Bank, Luxor",9.0,Luxor
494,Happy Land Luxor,"El Kamar Street from El-madina, Luxor",9.0,Luxor
495,Jolie Ville Hotel & Spa Kings Island Luxor,"Aswan Road - Kings Island, Luxor",9.0,Luxor
496,Sonesta St George Hotel Luxor,"Corniche El Nile Street, Luxor",8.8,Luxor
